vessel	cruise	haul	species	sex	specimen	age	length
518	198101	92	20510	2	256	5	55
518	198101	92	20510	2	258	5	56
518	198101	92	20510	2	265	5	59
518	198101	104	20510	1	660	5	55
518	198101	104	20510	1	662	5	56
518	198101	104	20510	1	664	5	57
518	198101	104	20510	1	665	5	58
518	198101	104	20510	1	666	5	58
518	198101	104	20510	1	640	5	45
518	198101	104	20510	1	650	5	50
518	198101	104	20510	1	652	5	51
518	198101	104	20510	1	653	5	52
518	198101	104	20510	2	741	5	59
518	198101	104	20510	2	746	5	62
518	198101	104	20510	2	750	5	64
518	198101	104	20510	2	751	5	64
518	198101	104	20510	2	716	5	47
518	198101	104	20510	2	722	5	50
518	198101	104	20510	2	724	5	51
518	198101	104	20510	2	725	5	51
518	198101	104	20510	2	728	5	53
518	198101	104	20510	2	729	5	53
518	198101	104	20510	2	730	5	54
518	198101	104	20510	2	732	5	55
518	198101	104	20510	2	735	5	56
518	198101	53	20510	2	927	6	63
518	198101	67	20510	2	105	6	62
518	198101	77	20510	1	515	6	54
518	198101	77	20510	1	523	6	58
518	198101	77	20510	1	527	6	60
518	198101	77	20510	1	531	6	62
518	198101	77	20510	1	547	6	70
518	198101	77	20510	2	568	6	52
518	198101	77	20510	2	576	6	56
518	198101	77	20510	2	585	6	60
518	198101	77	20510	2	586	6	61
518	198101	77	20510	2	588	6	62
518	198101	77	20510	2	593	6	64
518	198101	77	20510	2	599	6	67
518	198101	82	20510	1	341	6	48
518	198101	82	20510	1	347	6	51
518	198101	82	20510	1	377	6	66
518	198101	82	20510	2	437	6	62
518	198101	82	20510	2	439	6	63
518	198101	82	20510	2	442	6	64
518	198101	92	20510	1	192	6	59
518	198101	92	20510	2	275	6	64
518	198101	92	20510	2	278	6	66
518	198101	104	20510	1	657	6	54
518	198101	104	20510	1	658	6	54
518	198101	104	20510	2	745	6	61
518	198101	104	20510	2	761	6	69
518	198101	104	20510	2	727	6	52
518	198101	104	20510	2	737	6	57
518	198101	104	20510	2	739	6	58
518	198101	104	20510	2	762	6	70
518	198101	40	20510	1	1042	7	65
518	198101	53	20510	1	857	7	64
518	198101	53	20510	2	928	7	64
518	198101	53	20510	2	931	7	65
518	198101	67	20510	1	33	7	60
518	198101	67	20510	2	129	7	74
518	198101	67	20510	2	108	7	64
518	198101	67	20510	2	112	7	66
518	198101	67	20510	2	122	7	71
518	198101	67	20510	2	123	7	71
518	198101	67	20510	2	124	7	72
518	198101	77	20510	1	524	7	59
518	198101	77	20510	1	532	7	63
518	198101	77	20510	2	595	7	65
518	198101	77	20510	2	596	7	66
518	198101	77	20510	2	601	7	68
518	198101	77	20510	2	602	7	69
518	198101	77	20510	2	603	7	69
518	198101	77	20510	2	604	7	70
518	198101	77	20510	2	606	7	71
518	198101	77	20510	2	609	7	72
518	198101	77	20510	2	611	7	73
518	198101	82	20510	2	450	7	68
